date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:50	220071/220071	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2017:36:43%20GMT	https://natflixfitness.com/	C:/Meus%20Sites/natflix/natflixfitness.com/index.html	(from )
20:01:51	112/112	---M-Z	200	added ('OK')	text/plain	date:Tue,%2014%20Jan%202025%2023:01:51%20GMT	https://natflixfitness.com/robots.txt		(from )
20:01:51	5745/5745	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2018:17:12%20GMT	https://natflixfitness.com/wp-content/themes/hello-elementor/style.min.css?ver=2.7.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/themes/hello-elementor/style.min653d.css	(from https://natflixfitness.com/)
20:01:51	12285/12285	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2018:17:12%20GMT	https://natflixfitness.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/themes/hello-elementor/theme.min653d.css	(from https://natflixfitness.com/)
20:01:51	53257/53257	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/frontend.min1c88.css	(from https://natflixfitness.com/)
20:01:51	1768/1768	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202024%2008:57:30%20GMT	https://natflixfitness.com/wp-content/uploads/elementor/css/post-5.css?ver=1734685050	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/uploads/elementor/css/post-54ab2.css	(from https://natflixfitness.com/)
20:01:52	450795/450795	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2013:23:26%20GMT	https://natflixfitness.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.17.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor-pro/assets/css/frontend.min5d63.css	(from https://natflixfitness.com/)
20:01:52	1153/1153	---M--	200	added ('OK')	application/rss+xml	date:Thu,%2021%20Nov%202024%2008:34:14%20GMT	https://natflixfitness.com/feed/	C:/Meus%20Sites/natflix/natflixfitness.com/feed/index.html	(from https://natflixfitness.com/)
20:01:52	254/254	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-image.min1c88.css	(from https://natflixfitness.com/)
20:01:52	1344/1344	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-spacer.min1c88.css	(from https://natflixfitness.com/)
20:01:52	355/355	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:36%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min1c88.css	(from https://natflixfitness.com/)
20:01:52	10310/10310	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min1c88.css	(from https://natflixfitness.com/)
20:01:53	797/797	---M--	200	added ('OK')	application/rss+xml	date:Thu,%2021%20Nov%202024%2008:34:14%20GMT	https://natflixfitness.com/comments/feed/	C:/Meus%20Sites/natflix/natflixfitness.com/comments/feed/index.html	(from https://natflixfitness.com/)
20:01:53	600/600	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-heading.min1c88.css	(from https://natflixfitness.com/)
20:01:53	198/198	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:36%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min1c88.css	(from https://natflixfitness.com/)
20:01:53	704/704	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min1c88.css	(from https://natflixfitness.com/)
20:01:53	3303/3303	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:36%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://natflixfitness.com/)
20:01:53	1578/1578	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:35%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-toggle.min.css?ver=3.26.4	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/css/widget-toggle.min1c88.css	(from https://natflixfitness.com/)
20:01:54	80913/80913	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202024%2008:57:31%20GMT	https://natflixfitness.com/wp-content/uploads/elementor/css/post-51.css?ver=1734685051	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/uploads/elementor/css/post-51d0cf.css	(from https://natflixfitness.com/)
20:01:54	3829/3829	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202024%2019:38:56%20GMT	https://natflixfitness.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.0.8	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mind42d.css	(from https://natflixfitness.com/)
20:01:54	25443/25443	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202024%2019:39:03%20GMT	https://natflixfitness.com/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.12.5	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min03ec.css	(from https://natflixfitness.com/)
20:01:54	30999/30999	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202025%2020:55:36%20GMT	https://natflixfitness.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://natflixfitness.com/)
20:01:55	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202023%2001:44:24%20GMT	https://natflixfitness.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://natflixfitness.com/)
20:01:55	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2014:19:24%20GMT	https://natflixfitness.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://natflixfitness.com/)
20:01:55	1317/1317	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Nov%202024%2019:39:09%20GMT	https://natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.7.1	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min9704.js	(from https://natflixfitness.com/)
20:01:55	1709/1709	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Nov%202024%2019:39:09%20GMT	https://natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js?ver=2.1.3	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min4c71.js	(from https://natflixfitness.com/)
20:01:55	139414/139414	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Nov%202024%2019:39:09%20GMT	https://natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/public.js?ver=10.0.0	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/pixelyoursite/dist/scripts/publicff1f.js	(from https://natflixfitness.com/)
20:01:56	21496/21496	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Nov%202024%2019:39:03%20GMT	https://natflixfitness.com/wp-content/plugins/happy-elementor-addons/assets/vendor/dom-purify/purify.min.js?ver=3.1.6	C:/Meus%20Sites/natflix/natflixfitness.com/wp-content/plugins/happy-elementor-addons/assets/vendor/dom-purify/purify.min005e.js	(from https://natflixfitness.com/)
20:02:01	218649/218649	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Jan%202025%2023:02:02%20GMT	https://natflixfitness.com/wp-json/	C:/Meus%20Sites/natflix/natflixfitness.com/wp-json/index.html	(from https://natflixfitness.com/)
